Организация,Ссылка,Адрес,Раздел,Категория,Тип,Отзывов,Заголовок,Отзыв,Тег,Оценка,Дата посещения,Дата отзыва,Количество лайков,Имя,Профиль,Количество подписок,Количество подписчиков,Количество публикаций,Количество блаодарностей,Критик уровня,Количество посещенных городов,Место проживания,Год регистрации
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,Звукоизоляции нет совсем,"Заселился в номер, в итоге вечером через стенку начал сосед разговор по телефону, было ощущение, что он рядом со мной стоит и говорит. Вышел в коридор: ахи охи... с соседнего номера... В общем стоит задуматься над звукоизоляцией номеров...",,3,август 2016 г.,отзыв авг. 2016,0,Ilmir G,https://www.tripadvisor.ru/Profile/ilmirg,0,0,38,20,4,12,"Москва, Россия",янв. 2014 г.
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,"Жить можно, близко к центру","Сам по себе отель очень даже ничего. Номера чистые, много места в шкафах. Сейф в номере, мини-холодильник, кондиционер. Халат, тапочки. Скромные, но вполне приемлемые завтраки. Расположен недалеко от набережной, но на реку выйти не получилось, выход есть дальше направо, но сейчас на ремонте. Гостиница внутри двора. И да, в этом же здании стрип-клуб.",,4,август 2016 г.,авг. 2016 г.,1,iPathfinder,https://www.tripadvisor.ru/Profile/iPathfinder,0,0,49,44,4,14,,авг. 2015 г.
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,Разочарована местом,"Если на многое закрыть глаза, то приемлемо. Завтрак нормальный, девушки на ресепшн приветливы, помогают по необходимости. С уборкой не все гладко, но в целом для бизнес поездок подойдет. Цена за номер на ресепшн была 4900, мы бронировали за 2900 за ночь. на мой взгляд 4900 слишком дорого в этом отеле. И совсем убивает расположение. Центр города, практически на набережной (которая тоже имеет весьма удручающий вид сейчас). Здание гостиницы находится во дворах среди обшарпанные домов и гаражей. Крайне неприятно. Также не понравилось соседство в подвале гостиницы со стрипклубом. о тишине не заботится никто. Несмотря на приемлемое качество обслуживания, возвращаться в отель не хочется.",,3,август 2016 г.,авг. 2016 г.,0,helenn307,https://www.tripadvisor.ru/Profile/helenn307,0,0,58,44,4,18,"Москва, Россия",июнь 2016 г.
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,Хороший сервис в странном месте,"Номера уютные, завтрак шведский стол, достаточный, в стандартных номерах есть лёгкие вафельные халаты, но нет чайников - попросил и принесли, спасибо персоналу! Вид из окна на другое здание, но метров 30, не кретично, приходишь только спать. Своя бесплатная парковка. Находится в центре города. Из минусов: персонал на завтраке разный, славяне не приветливые, а азиаты хорошо подготовлены - ""здравствуйте, возьмите то, это, всегда пожалуйста "" мелочи, но приятно. Отель расположен в закрытом дворе, чтобы найти въезд нужны карты гугла - там есть понорама и понятно, а в карте яндекс нет в понораме место въезда. На момент поездки был единственный с завтраком в центре города!",,5,июль 2016 г.,отзыв июль 2016,0,Andrey S,https://www.tripadvisor.ru/Profile/283andreys,0,0,112,57,5,23,"Екатеринбург, Россия",авг. 2015 г.
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,Никудышная звукоизоляция,"Номера-каморки. Очень правильно описано. Слышно всё, вплоть до храпа соседей. Завтрак средний. Ресторан для ужина хороший. Персонал приветливый. Расположение - если по отношению к арб.суду Пермского края то далековато. Своя парковка. Неудобный подъезд. Тяжело въехать и выкхать посреди рабочего дня.",,2,октябрь 2015 г.,июнь 2016 г.,0,Гузель,https://www.tripadvisor.ru/Profile/guzel_bakirova,0,0,11,3,2,4,"Уфа, Россия",май 2016 г.
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,Коморка,"С первого взгляда было всё достаточно очаровательно: чисто, красиво, современно. Когда вошёл в номер впечатление немного изменилось. Номер черезчур маленький. Буквально коморка. Основное освещение находится возле двери и реагирует на движение, поэтому большую часть времени в комнате темновато, не смотря на наличие дополнительного света. Может и есть номера дороже и просторнее, но один из самых дешёвых оказался не ахти. Что удивило так это наличие встроенного в стену радио.)) В остальном всё хорошо. Вещи можно погладить самостоятельно. Завтрак - шведский стол. Вкусно.",,4,февраль 2016 г.,отзыв май 2016,0,Maximiliano H,https://www.tripadvisor.ru/Profile/maximilianoh762,0,0,66,15,5,23,,февр. 2015 г.
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,За эту цену - не плохо,"Расположен в центральной части города. Вход со двора. Внутри довольно чисто, интерьер спокойный, минималистичный, оформленный в пастельных тонах. Планировка странноватая, возможно изначально здесь предполагали открыть что-то другое. Номер не очень просторный, но функциональный, все необходимое есть, в исправном состоянии, кровать удобная, интернет работает.  На территории можно воспользоваться услугами салона корсары и массажного кабинета. Завтраки приемлимые, выбор не потрясает, но сырники и яичница есть. Сервис знает инструкции, работают грамотно, ещё бы добавить улыбки на лицах. В целом, своей звёздности соответствует.",,4,апрель 2016 г.,апр. 2016 г.,0,valera216,https://www.tripadvisor.ru/Profile/valera216,0,0,48,42,4,10,Россия,янв. 2016 г.
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,Хороший отель,"Хороший отель, находится во дворе офисного здания . Территориально очень удобен, но не знаю про доступность общественного транспорта.Проход через арку, поэтому вид не восхищает. Но сам отель новый и чистый. Парковка для гостей бесплатная. Номера большие и всем оборудованы.",,5,апрель 2016 г.,отзыв апр. 2016,0,Сергей Б,https://www.tripadvisor.ru/Profile/C2424EU_,0,0,61,21,4,18,"Екатеринбург, Россия",июль 2015 г.
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,Чистый новый отель с плохим рестораном,"Хороший чистый отель, по номерам никаких нареканий. wifi работает хорошо, сантехника новая, постельное белье чистое. шампуньки в маленьких пакетиках - лучше взять свои. завтрак не очень разнообразный и без деликатесов :). но вполне нормальный: блинчики, яйца. выпечка, сыр, кашка. при отеле есть клуб - из-за этого вечером немного шумно, возможно не во всех номерах. тройку ставлю за ресторан при отеле: еда невкусная, не соответствует описанию в меню. пломбир оказался замороженным льдом, местные пельмешки (посикунчики) жесткие, невкусные, не сочные.",,3,март 2016 г.,апр. 2016 г.,0,OlyaS123,https://www.tripadvisor.ru/Profile/OlyaS123,0,0,321,56,6,47,"Москва, Россия",май 2014 г.
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,В целом хорошо,"Был в отеле 7-8 апреля. Останавливался на 1 ночь. Отель хороший, но не отличный. Расположен в центре города. Рядом много разных ресторанчиков. Находится во дворе, что не очень удачно. Во время дождя очень грязно на территории. Номера обычные, чистые, ухоженные. Персонал приветливый. Завтраки не отличаются особым разнообразием.",,4,апрель 2016 г.,отзыв апр. 2016,0,Виктор А,https://www.tripadvisor.ru/Profile/O6984WZ_,0,0,77,93,5,498,"Москва, Россия",февр. 2014 г.
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,Удобный отель для бизнеса,"Удачно расположенный отель - в центре города. Удобно добираться до всех деловых центров. Отель современный, хорошо оборудованный и комфортный. Бесплатный Wi-Fi. Дружелюбный персонал. Уютный ресторан с очень вкусной едой. Рядом английский паб. Серьёзный недостаток - во дворе перед отелем много жидкой грязи. Требуется заменить разбитый асфальт на плитку и сделать стоки.",,5,апрель 2016 г.,апр. 2016 г.,0,SergeyKuznetsovMos,https://www.tripadvisor.ru/Profile/SergeyKuznetsovMos,0,0,35,8,4,253,"Москва, Россия",март 2012 г.
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,Сойдёт на одну ночь,"На мой взгляд основная проблема данного отеля заключается в том, что при ремонте использовали очень низкого качества материалы. На фото всё выглядит прилично, но по факту мебель чуть ли не разваливается, не смотря на относительную новизну.",,4,сентябрь 2015 г.,март 2016 г.,0,acidium,https://www.tripadvisor.ru/Profile/acidium,0,0,453,39,6,133,"Екатеринбург, Россия",дек. 2009 г.
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,Для полного счастья не хватает вида,"Реально чистый отель, воспитанный персонал, хороший разнообразный завтрак, центр Перми. Хорош для проведения совещаний, встреч, презентаций. Качество белья - прекрасное, что большая редкость за 300 км от Москвы.",,4,март 2016 г.,отзыв март 2016,0,Nata G,https://www.tripadvisor.ru/Profile/NataG_11,1,0,256,97,6,189,"Москва, Россия",нояб. 2011 г.
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,Идеально для командировки,"У гостиницы отличное местоположение: центр города в шаговой доступности, можно отлично погулять по городу в конце рабочего дня, вкусно поужинать в многочисленных заведениях общепита. В номерах убираются каждый день. Есть всё необходимое для недолгого пребывания, в том числе ""шустрый"" интернет. Отдельно стоит отметить: при минусовой температуре воздуха в номере ощутимо холодно; в стандартных номерах практически отсутствует звукоизоляция.",,3,ноябрь 2015 г.,отзыв нояб. 2015,0,медведева о,https://www.tripadvisor.ru/Profile/R2796VH_,0,0,15,25,3,5,,нояб. 2015 г.
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,Командировка,"Очень неплохой отель для 1-2 ночи. Комната супер. Инет быстрый. очень нелогичная конструкция и обрамление самой ванной. ((( вода постоянно остается на бортике, от этого всегда чувство сырости. Вида конечно никакого, но мне он был не нужен. Под окнами отличный ирландский паб. также, для любителей клубнички - стрип клуб ровно 10 шагов.",,4,сентябрь 2015 г.,отзыв нояб. 2015,0,Vladimir Grigorev,https://www.tripadvisor.ru/Profile/Vladimir_Grigorev,0,0,10,2,3,37,"Москва, Россия",сент. 2012 г.
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,"Хороший отель, удобное расположение","Современный отель, Удобные комфортные номера, Хорошее месторасположение - всего в 5-ти минутах ходьбы от главных улиц. В номерах тихо. Приветливый персонал. Завтрак - не очень (каша была ""не сегодняшняя"", но кофе приличный. Ложка дегтя (прошу прощения) - нет чайника в номере, как практически во всех современных бизнес-отелях.",,4,октябрь 2015 г.,отзыв окт. 2015,0,Ilya K,https://www.tripadvisor.ru/Profile/Father439,0,0,53,30,5,16,"Обнинск, Россия",июнь 2013 г.
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,Хороший бизнес-отель в самом центре,"Хороший новый отель, удобные и комфортные номера, хорошая ванна. вполне приличный разнообразный завтрак, есть горячие блюда - каша, омлет, паста. Только холодно в номере и набор туалетных принадлежностей скудноват. Но главный минус - отсутствие хорошего подъезда, отель находится глубоко ""во дворах"". Отель имеет отличный, лучший в городе конференц-зал - поэтому идеален для проведения корпоративных мероприятий.",,4,октябрь 2015 г.,окт. 2015 г.,1,Галина,https://www.tripadvisor.ru/Profile/AlinaBel,0,0,118,69,6,20,"Екатеринбург, Россия",окт. 2013 г.
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,Хорошая гостиница с удобным расположением,"Гостиница находится рядом с набережной. Рядом много заведений где можно поужинать. В стоимость номера входит завтрак. Есть лобби бар. Номера чистые, дают халаты. Есть все туалетные принадлежности. До центра города можно дойти пешком",,4,октябрь 2015 г.,окт. 2015 г.,0,Bala_show,https://www.tripadvisor.ru/Profile/Bala_show,2,0,170,109,6,102,,июнь 2013 г.
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,Отличный отель,"Отличный современный отель бизнес класса. Прекрасные номера. Отель расположен в центре у центрального моста через Каму, почти на набрежной. Единственный минус - стоит во дворе, вид на соседние дома из любого номера. В этом же здании есть неплохой ночной клуб. Рядом паб, ресторан Партизан, набережная, достопримечательности. В отеле большой ресторан в цоколе. Останавливался в этом отеле уже несколько раз, летом скидка.",,5,июнь 2015 г.,отзыв сент. 2015,0,Reynard B,https://www.tripadvisor.ru/Profile/71reynardb,0,0,21,13,3,48,"Варшава, Польша",март 2012 г.
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,Хороший отель!,"Очень хороший отель, был в нём уже много раз:) новый, чистый и опрятный , так держать!!! Всем рекомендую , не пожалеете:) кстати цены тоже приятно удивили:) осталось только подтянуть немного кухню. Парковка есть, хоть и небольшая , так же есть очень хороший мужской клуб недалеко :))",,5,август 2015 г.,авг. 2015 г.,0,Cherpakov_max,https://www.tripadvisor.ru/Profile/Cherpakov_max,1,3,33,8,4,17,,авг. 2015 г.
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,Для торжеств,"Был на 2-ух свадьбах в этом отеле(так сложилось) Еда вкусная, вся- даже закуски. Официанты внимательные(опустел стакан- подлили) Тамада(были 2 разных) отлично. Мы были в нижнем зале он человек на 50 максимум но там места дляконкурсов маловато(по середине стоит(не знаю что) НОО нам и так отлично было в общем все понравилось- оба раза. Расположен недалеко от центра(1 улица-квартал)",,4,август 2015 г.,отзыв авг. 2015,0,Данил П,https://www.tripadvisor.ru/Profile/N4781JE_,0,0,186,85,6,10,"Пермь, Россия",авг. 2015 г.
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,Так себе,"Отель посредственный - я ""повелась"" на высокий рейтинг на booking. Не все плохо, но рейтинг, на мой взгляд, завышен. Отель находится во дворе , хоть и в центре, но в какой-то неприглядной подворотне, это сразу портит впечатление. Номер неплохой - чистый, нормальной площади, но мебель не новая, конечно. У меня было два сильных минуса - неприятный запах в номере, который не выветривался даже при открытом окне и очень мягкая кровать, спать на которой оказалось невозможно. Завтрак устроен так: если отель заселен больше, чем наполовину - шведский стол, если нет - по меню. Сказать об этом могут только накануне вечером или непосредственно на завтраке. Я после первых суток съехала в другой отель, поэтому про выбор по меню сказать не могу, в мое утро был шведский стол - он неплохой для трешки. Еще из плюсов - приветливые сотрудники.",,3,август 2015 г.,авг. 2015 г.,0,Karina_,https://www.tripadvisor.ru/Profile/Karina_rfhbyf,1,0,189,114,6,88,"Рим, Италия",нояб. 2012 г.
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,Не судите по входу,"Единственный минус - отель расположен за домами первой линии, сразу не найдешь, особенно въезжая в не очень ухоженный двор. Но внутри хорошо. Строгий стиль, минимальный, но ничего лишнего, приветливый и знающий персонал на рецепции. Хороший номер, кондиционер, халат, есть фен, телевизор. Из минусов - не было тапочек, мелочь, но если заявлено, хотелось, что бы были. Рядом множество ресторанчиков, набережная реки Кама, зоопарк и до центра недалеко. При отеле, внизу, есть ресторан - готовят вкусно, но цена немного высоковата (убрать бы с каждого блюда рублей по 100 - был бы идеальный вариант). Завтрак проходит в нем же - и количество и качество на 5 с плюсом. WI-FI очень быстрый работает везде без нареканий.",,4,июль 2015 г.,отзыв авг. 2015,0,Vladimir A,https://www.tripadvisor.ru/Profile/vladimira561,0,0,86,21,5,13,"Москва, Россия",окт. 2014 г.
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,"Не уютно, но если просто переночевать, то пойдет...","Отель расположен в офисном здании, построенном внутри двора, есть своя парковка. Подойдет для краткосрочного отдыха во время путешествия на автомобиле, а также для командировочных. Есть все необходимое: холодильник, удобная кровать, питьевая вода, косметика, wifi, даже халаты... Круглосуточная стойка регистрации, мы заехали в первом часу ночи, ждать не пришлось, заселили моментально. Но! не для любителей комфорта! Слишком сдержанный офисный интерьер в стиле минимализма, очень холодный свет в ванной, что не добавляет уюта. Цена однозначно завышена! Завтрак не впечатлил - нужно заказывать по прейскуранту, вписываясь в заданную сумму. Да и подача заказанных блюд не порадовала - творог принесли сухой, без сметаны и сахара, есть невозможно(((",,3,июнь 2015 г.,июль 2015 г.,0,2303Irina,https://www.tripadvisor.ru/Profile/2303Irina,0,0,63,51,4,90,"Екатеринбург, Россия",сент. 2013 г.
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,деловой скучный отель,"Было серо не душевно, такое ощущение, что живешь в офисе. ни одного цветка. Выбирали отель тк он находится в центре у реки, думали будем любоваться видом на реку, по факту у отлеля ни одно окно не выходит на реку, только на хмурые здания двора. В один день пахло отравой для тараканов. Завтрак нормальный.",,3,июнь 2015 г.,июнь 2015 г.,0,helenpalna,https://www.tripadvisor.ru/Profile/helenpalna,0,0,42,49,4,52,"Челябинск, Россия",нояб. 2013 г.
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,Оно Вам надо?,"Расположение - о да, центр города, но среди домов в колодце. Кроме домов вы ничего из окон не увидите. Рядом Суфра - классное кафе, единственное что сглаживает полное отсутствие кухни в отеле. Завтрак жесть. Ок шведский стол, но так мало гостей что свет для каждого в ресторане включают по отдельности. И представительница южных стран смотрит в тарелку и пытается каждый раз с вами поговорить! Утром я хочу спать а не общаться ни с кем! Завтрак дрянь (оно и понятно на такое количество гостей готовить смысла нет). Отдельно ланчбокс... блин, ну как ланчбокс может состоять из бутерброда с кусочком сыра и бутылки воды? Комнаты: хорошие, большие, по крайней мере стандарт плюс. Только не мечтайте о тепле или холоде, кондиционер есть но не работает, макс дует воздухом. Датчик движения у гардеропа жесть, будете снимать костюм останетесь в темноте со спущенными штанами. WIFI На удивление вменяемый Ванна и халаты рассчитаны на вьетнамцев-карликов, нормальные туда не влезут Девочки на рецепции вменяемые, на удивление плюс для для всего отеля Мой вывод: если нужна комната, тут хорошо, центр Перми, но НИКОГДА не ешьте там ничего!",,3,июнь 2015 г.,июнь 2015 г.,0,AlexPetrov81,https://www.tripadvisor.ru/Profile/AlexPetrov81,0,0,1,0,0,93,"Будапешт, Венгрия",окт. 2010 г.
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,Были не давно с детской спорт. командой,"Отель оказался очень даже ничего! Чисто, вкусно, современно, на этажах стоят куллеры, единственное не приятное воспоминание о сотруднице ресторана , которая запрещала брать детям бутылочки с водой на вынос! И не успевали поставить еду к заказанному времени. Да, и еще очень странно смотреть в окно и видеть задний двор фабричного здания окно в окно. А так все понравилось. ЦЕНА И КАЧЕСТВО НЕ ВЫЗВАЛИ НАРЕКАНИЙ!",,3,май 2015 г.,май 2015 г.,0,gest001,https://www.tripadvisor.ru/Profile/gest001,0,0,10,8,2,2,Москаа,март 2014 г.
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,Командировка,"Очень любезный и предупредительный персонал: охотно помогли зарегистрироваться на рейс и распечатать посадочный талон. Номер чистый и комфортный . Несколько темный двор , ведущий к отелю, приходилось осторожно ходить по наледи. В шаговой доступности расположены рестораны с различной кухней. В целом отель не разочаровал, думаю вернуться в следующий раз.",,4,апрель 2015 г.,апр. 2015 г.,0,Oldgoodbaby,https://www.tripadvisor.ru/Profile/Oldgoodbaby,0,0,233,110,6,177,"Москва, Россия",сент. 2008 г.
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,Деловая поездка в Пермь,"В командировке выбрал данный отель, находится во дворе, рядом река Кама, мечеть и несколько баров. Отель относительно новый, в номере стандарт двухспаная кровать - это в плюс! Отель тихий, заполнен был чуть. Через стену впрочем слышно как храпят соседи...На завтрак вместо шведского стола лимитированное меню с депозитом 400 рублей. На следующий день заселилась группа людей и отель выкатил шведский стол. Поэтому справляйтесь заранее о завтраке, можно откушать за 20 минут, а можно ждать обслуживания по заказу. В-целом все неплохо. Чисто есть вай-фай.",,4,март 2015 г.,март 2015 г.,0,Yellowbluebus,https://www.tripadvisor.ru/Profile/Yellowbluebus,1,0,51,23,5,42,"Москва, Россия",май 2012 г.
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,В целом - неплохо,"Останавливался на 3 дня. Сервис приемлемый, в ресторане кормят посредственно (что по меню, что во включенных блюдах), хотя мне попались несколько достойных блюд. Санузел немного странной планировки, горячая вода имеет ржавый цвет - приходится минут 5 её сливать, ванная в стандартном номере имеется, но укороченная - только посидеть. Слышимость прост отличная: слышны даже разговоры по телефону в соседних номерах, не говоря уж о более громких звуках...  Мини-бара нет, зато есть маленький холодильник; инструкция к сейфу написана тем, кто - видимо - ни разу сам им не пользовался. Если перед вами посетитель забыл сбросить код, но оставил дверцу открытой - откройте отсек для батареек и нажмите красную кнопку, после чего вводите свой код.  Wi-Fi работает, но периодически дает сбои на несколько часов. Кровать довольно удобная, широкая. Стола - как такового - в номере нет, только тумбочки и узенькая столешница. С розетками тоже туговато: чтобы поставить на ночь телефон на зарядку, нужно либо положить его на столешницу, либо выключить из единственной прикроватной розетки стационарный телефон.",,3,март 2015 г.,март 2015 г.,0,vezdeh0d,https://www.tripadvisor.ru/Profile/vezdeh0d,0,0,109,98,5,90,"Москва, Россия",март 2012 г.
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,Прекрасно подходит для командировок,"Неплохой отель недалеко от набережной и рядом с ресторанами (за углом- Суфра,3 минуты пешком- Сакартвело). Достаточно уютный номер с современным дизайном,небольшая ванная (есть халат и тапочки).На цокольном этаже есть ресторан,где подают завтраки (не всегда у повара удается каша,но яблочный штрудель прекрасен (можно заказать по меню).Отзывчивый персонал с забавным пермским говорком всегда помогут и подскажут. Также в 5 минутах ходьбы от отеля расположился потрясающий театр ""У моста"".Рекомендую посетить спектакли ""На дне"" и ""Идиот"".",,4,декабрь 2014 г.,янв. 2015 г.,0,silaeva_ekaterina,https://www.tripadvisor.ru/Profile/katesilaeva,0,1,311,56,6,245,"Москва, Россия",дек. 2013 г.
Гостиница City Star City Star Hotel,https://www.tripadvisor.ru/Hotel_Review-g298516-d4241855-Reviews-City_Star_Hotel-Perm_Perm_Krai_Volga_District.html,"Монастырская ул., 14А, Пермь 614000 Россия",Отели,Отели,Отели,103,Неожиданно приятный отель,"Находится во дворе дома, рядом много кафе и ресторанов на выбор. Есть ирландский паб даже. Размещают быстро, на 3 этаже шума не слышно. Номера просторные, ванные принадлежности присутствуют, в том числе халат и зубной набор. Интернет работает быстро, исправно. Завтрак не очень, я бы сказал паршивый для такого хорошего отеля.",,5,октябрь 2014 г.,отзыв окт. 2014,0,Egor U,https://www.tripadvisor.ru/Profile/egoru2013,0,0,183,68,6,134,"Дубна, Россия",окт. 2013 г.
